nx,ny,lat,lon,sand,silt,clay,slope,elev,MAT,MAP,pH,tot_OC,tot_N,s_type2_Acrisol,s_type2_Alisol,s_type2_Andosols,s_type2_Arenosol,s_type2_Cambisol,s_type2_Ferralsol,s_type2_Fluvisols,s_type2_Gleysol,s_type2_Lixisol,s_type2_Luvisol,s_type2_Nitisols,s_type2_Plinthosol,s_type2_Podzol,s_type2_Regosol,s_type2_Umbrisol
234,164,-7.7500,-62.7500,0.3425,0.2313,0.3762,0.9063,210.4000,25.8306,1198.8889,3.9653,0.6077,0.0627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
235,164,-7.7500,-62.2500,0.8538,0.0386,0.1076,0.9338,306.5411,25.6944,1098.1945,5.0040,0.7114,0.0653,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
236,164,-7.7500,-61.7500,0.6085,0.1595,0.2320,0.7507,272.6583,25.5944,1207.8055,4.5050,0.7084,0.0700,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
237,164,-7.7500,-61.2500,0.3300,0.2985,0.3715,1.3114,272.5333,25.8194,1543.5278,3.8250,0.6211,0.0718,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
238,164,-7.7500,-60.7500,0.4670,0.1686,0.3644,0.5002,137.2100,25.9611,1960.6666,3.8380,0.6636,0.0686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
239,164,-7.7500,-60.2500,0.5282,0.1788,0.2930,0.5443,100.2689,26.0250,2339.8889,4.6650,0.5684,0.0570,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
240,164,-7.7500,-59.7500,0.4225,0.1074,0.2001,0.3168,47.4478,26.3194,2610.5833,4.3530,1.5676,0.1074,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
241,164,-7.7500,-59.2500,0.3691,0.0703,0.1465,0.1829,21.8864,26.5250,2618.8333,4.1030,2.5823,0.1579,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
242,164,-7.7500,-58.7500,0.2214,0.0422,0.0878,0.1492,13.6282,26.8250,2541.4375,3.8216,2.9021,0.1709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,165,-7.2500,-65.2500,0.3530,0.2988,0.3482,3.1730,180.5586,27.2361,1934.8055,3.9430,0.6234,0.0557,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,165,-7.2500,-64.2500,0.1410,0.3300,0.5290,1.0888,158.7214,26.7944,1651.5000,3.5250,0.6140,0.0554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
